course_id,price,num_lectures,content_duration,year_p,month_p,date_p,is_success,level_enc,is_paid_False,is_paid_True,business_subject,graphic_subject,music_subject,webdev_subject
1136038,25,27,1.0,2017,4,17,0,1,0,1,1,0,0,0
1232282,50,10,1.5,2017,6,28,0,1,0,1,1,0,0,0
41961,60,14,3.0,2013,2,17,0,1,0,1,1,0,0,0
42040,60,14,3.0,2013,2,18,0,2,0,1,1,0,0,0
1039442,150,21,2.0,2017,2,17,0,0,0,1,1,0,0,0
615602,20,9,0.72,2015,9,23,1,0,0,1,1,0,0,0
235112,20,14,1.5,2014,6,2,0,2,0,1,1,0,0,0
551910,25,34,1.0,2015,7,16,0,0,0,1,1,0,0,0
1051430,200,35,2.5,2016,12,29,0,2,0,1,1,0,0,0
828596,30,27,2.0,2016,5,16,0,2,0,1,1,0,0,0
258894,50,64,3.5,2014,7,11,0,1,0,1,1,0,0,0
138560,20,9,2.5,2014,1,14,0,0,0,1,1,0,0,0
689868,200,12,2.5,2015,12,14,0,0,0,1,1,0,0,0
1020244,0,35,2.0,2016,12,14,0,0,1,0,1,0,0,0
858764,20,28,1.5,2016,6,14,0,0,0,1,1,0,0,0
941310,20,30,4.5,2016,10,12,0,1,0,1,1,0,0,0
1214144,0,6,1.0,2017,5,30,0,1,1,0,1,0,0,0
492344,20,6,1.0,2015,8,25,0,0,0,1,1,0,0,0
815672,75,77,6.0,2016,4,27,0,1,0,1,1,0,0,0
376712,30,12,2.0,2015,1,9,0,1,0,1,1,0,0,0
869716,20,45,2.5,2016,7,1,0,2,0,1,1,0,0,0
754156,20,33,2.0,2016,2,22,0,1,0,1,1,0,0,0
709816,20,37,1.5,2016,1,8,0,0,0,1,1,0,0,0
680046,145,26,1.5,2015,12,16,0,0,0,1,1,0,0,0
1138162,200,18,3.5,2017,3,11,0,0,0,1,1,0,0,0
829182,30,37,3.0,2016,5,25,0,1,0,1,1,0,0,0
1163242,20,31,7.5,2017,4,23,0,1,0,1,1,0,0,0
46933,30,23,3.0,2013,4,23,0,1,0,1,1,0,0,0
954842,25,10,1.0,2017,5,3,0,1,0,1,1,0,0,0
868112,45,7,1.0,2016,6,3,0,1,0,1,1,0,0,0
1056242,35,127,31.5,2017,1,18,0,2,0,1,1,0,0,0
113712,20,6,0.53,2013,12,5,0,0,0,1,1,0,0,0
146454,20,12,1.5,2014,1,20,0,2,0,1,1,0,0,0
56926,20,11,1.5,2013,6,28,0,0,0,1,1,0,0,0
589778,20,59,2.0,2015,8,23,0,1,0,1,1,0,0,0
1113702,20,13,3.0,2017,3,27,0,0,0,1,1,0,0,0
1072220,95,59,4.5,2017,5,22,0,0,0,1,1,0,0,0
101038,20,13,1.5,2015,3,29,0,1,0,1,1,0,0,0
417088,35,13,1.5,2015,2,13,0,0,0,1,1,0,0,0
258954,30,25,4.0,2014,7,21,0,0,0,1,1,0,0,0
298044,35,14,1.0,2014,11,19,0,1,0,1,1,0,0,0
593962,50,50,10.0,2015,9,15,0,0,0,1,1,0,0,0
941520,60,22,1.5,2016,9,25,0,0,0,1,1,0,0,0
64173,30,16,1.0,2013,7,15,0,0,0,1,1,0,0,0
371828,20,26,2.5,2015,7,24,0,2,0,1,1,0,0,0
974954,20,15,0.63,2016,10,11,0,1,0,1,1,0,0,0
818572,20,17,1.5,2016,5,5,0,2,0,1,1,0,0,0
115752,20,5,1.0,2013,11,28,0,1,0,1,1,0,0,0
731150,50,98,0.52,2016,1,19,0,0,0,1,1,0,0,0
627772,0,54,2.0,2015,10,28,1,0,1,0,1,0,0,0
850726,25,21,3.0,2016,5,16,0,0,0,1,1,0,0,0
136244,20,16,3.0,2013,12,24,0,0,0,1,1,0,0,0
485889,180,286,29.5,2015,4,26,0,0,0,1,1,0,0,0
507778,95,27,2.5,2015,5,25,0,0,0,1,1,0,0,0
422918,20,14,2.0,2015,6,1,0,1,0,1,1,0,0,0
362530,20,23,6.5,2014,12,11,0,0,0,1,1,0,0,0
579642,20,27,1.0,2015,10,17,0,0,0,1,1,0,0,0
1022796,200,27,2.0,2017,1,23,0,0,0,1,1,0,0,0
793084,0,10,1.0,2017,3,9,1,1,1,0,1,0,0,0
881062,30,19,2.0,2016,7,26,0,1,0,1,1,0,0,0
838260,20,28,2.5,2016,5,5,0,0,0,1,1,0,0,0
380542,50,9,2.0,2015,1,8,0,0,0,1,1,0,0,0
772480,50,12,1.0,2016,2,24,0,1,0,1,1,0,0,0
576906,50,36,3.0,2015,11,23,0,1,0,1,1,0,0,0
410196,20,8,1.0,2015,3,26,0,0,0,1,1,0,0,0
581662,50,6,1.0,2015,8,13,0,0,0,1,1,0,0,0
1088102,20,20,1.0,2017,2,2,0,0,0,1,1,0,0,0
788756,95,15,1.0,2016,3,29,0,0,0,1,1,0,0,0
380206,100,9,1.0,2015,1,8,0,0,0,1,1,0,0,0
160322,20,34,6.0,2014,5,19,0,1,0,1,1,0,0,0
610812,20,34,5.0,2015,9,15,0,0,0,1,1,0,0,0
288256,20,12,3.0,2014,8,28,0,0,0,1,1,0,0,0
662996,0,25,2.0,2015,12,17,1,0,1,0,1,0,0,0
101234,45,74,13.0,2013,10,10,0,0,0,1,1,0,0,0
1113442,200,26,1.5,2017,2,22,0,1,0,1,1,0,0,0
746366,40,35,3.0,2016,2,17,0,1,0,1,1,0,0,0
186556,30,13,2.0,2014,4,14,0,0,0,1,1,0,0,0
179500,50,20,3.5,2014,3,11,0,0,0,1,1,0,0,0
304000,20,17,1.0,2014,9,20,0,0,0,1,1,0,0,0
334838,20,24,4.0,2014,11,8,0,1,0,1,1,0,0,0
302456,40,22,2.5,2015,7,16,0,0,0,1,1,0,0,0
537748,20,27,5.0,2015,7,9,0,0,0,1,1,0,0,0
378464,50,120,13.5,2014,12,27,0,0,0,1,1,0,0,0
532216,50,60,2.5,2015,8,3,0,0,0,1,1,0,0,0
41973,0,11,1.0,2013,2,16,1,1,1,0,1,0,0,0
138004,20,35,2.5,2013,12,26,0,1,0,1,1,0,0,0
94532,50,19,0.68,2014,3,10,0,1,0,1,1,0,0,0
467238,50,14,3.5,2015,4,8,0,3,0,1,1,0,0,0
850294,20,12,2.5,2016,6,7,0,2,0,1,1,0,0,0
1110256,35,10,0.67,2017,4,20,0,0,0,1,1,0,0,0
439210,20,12,0.45,2015,3,27,0,1,0,1,1,0,0,0
597164,95,79,3.0,2015,10,8,0,0,0,1,1,0,0,0
773502,20,36,4.5,2017,5,1,0,1,0,1,1,0,0,0
262818,35,16,1.5,2014,7,31,0,2,0,1,1,0,0,0
255046,40,19,1.5,2014,7,22,0,1,0,1,1,0,0,0
295909,110,49,4.0,2014,9,21,0,0,0,1,1,0,0,0
1153876,20,28,6.5,2017,4,3,0,1,0,1,1,0,0,0
83736,20,58,5.5,2013,8,28,0,1,0,1,1,0,0,0
75182,95,7,0.52,2013,8,29,0,0,0,1,1,0,0,0
236070,135,25,2.5,2016,11,28,0,0,0,1,1,0,0,0
788796,50,6,0.68,2016,3,22,0,0,0,1,1,0,0,0
508796,30,12,1.5,2015,5,22,0,0,0,1,1,0,0,0
739910,70,13,1.0,2016,1,25,0,2,0,1,1,0,0,0
725872,200,29,3.0,2016,3,10,0,0,0,1,1,0,0,0
894336,20,7,1.0,2016,7,4,0,2,0,1,1,0,0,0
334820,40,14,0.57,2014,12,24,0,1,0,1,1,0,0,0
619786,195,18,1.0,2016,5,16,0,0,0,1,1,0,0,0
179820,50,27,4.5,2014,3,11,0,0,0,1,1,0,0,0
322332,50,21,3.0,2015,3,29,0,1,0,1,1,0,0,0
597424,115,25,2.5,2016,11,1,0,0,0,1,1,0,0,0
1089610,20,6,1.5,2017,2,24,0,0,0,1,1,0,0,0
166842,20,16,1.5,2014,2,24,0,0,0,1,1,0,0,0
408232,50,27,5.0,2015,2,26,0,0,0,1,1,0,0,0
249376,0,6,0.6,2014,7,5,1,0,1,0,1,0,0,0
231256,25,28,4.0,2014,6,17,0,1,0,1,1,0,0,0
479496,50,27,2.5,2015,8,5,0,1,0,1,1,0,0,0
944534,150,19,2.0,2016,9,21,0,2,0,1,1,0,0,0
1153854,20,29,7.0,2017,4,6,0,1,0,1,1,0,0,0
74028,20,5,1.0,2013,8,12,0,0,0,1,1,0,0,0
73962,20,5,1.0,2013,8,12,0,0,0,1,1,0,0,0
1156530,200,39,2.5,2017,3,29,0,2,0,1,1,0,0,0
1097288,35,130,31.5,2017,2,7,0,2,0,1,1,0,0,0
614668,40,48,5.5,2015,11,13,0,1,0,1,1,0,0,0
1082352,50,6,0.53,2017,2,26,0,1,0,1,1,0,0,0
625670,20,6,1.0,2015,11,2,0,2,0,1,1,0,0,0
35409,20,7,5.5,2013,6,3,0,2,0,1,1,0,0,0
250902,45,12,2.0,2014,6,27,0,1,0,1,1,0,0,0
1010988,25,34,2.5,2017,1,2,0,1,0,1,1,0,0,0
855816,20,24,2.0,2016,5,23,0,1,0,1,1,0,0,0
813360,50,27,3.5,2016,4,7,0,0,0,1,1,0,0,0
813516,50,22,2.0,2016,4,7,0,0,0,1,1,0,0,0
302484,35,7,1.0,2016,11,18,0,0,0,1,1,0,0,0
861764,30,10,1.5,2016,6,28,0,2,0,1,1,0,0,0
765238,170,39,6.5,2016,3,12,0,0,0,1,1,0,0,0
542950,20,25,1.0,2015,7,5,0,1,0,1,1,0,0,0
307080,20,14,1.0,2014,12,17,0,1,0,1,1,0,0,0
469848,30,11,1.0,2015,4,9,0,1,0,1,1,0,0,0
581498,30,24,3.5,2015,8,14,0,0,0,1,1,0,0,0
849896,20,29,2.0,2016,6,9,0,1,0,1,1,0,0,0
1174084,35,28,2.0,2017,4,26,0,2,0,1,1,0,0,0
801702,195,33,5.0,2016,3,30,0,0,0,1,1,0,0,0
786984,150,25,1.5,2016,3,10,0,0,0,1,1,0,0,0
255592,0,36,4.5,2014,9,11,1,2,1,0,1,0,0,0
514844,20,21,2.5,2015,6,16,0,1,0,1,1,0,0,0
998706,0,13,1.5,2016,11,3,0,1,1,0,1,0,0,0
