course_id,year_p,is_success,level_enc,is_paid_False,is_paid_True,business_subject,graphic_subject,music_subject,webdev_subject
1070968,2017,1,0,0,1,1,0,0,0
1113822,2017,1,0,0,1,1,0,0,0
1006314,2016,1,2,0,1,1,0,0,0
1210588,2017,1,0,0,1,1,0,0,0
1011058,2016,0,2,0,1,1,0,0,0
192870,2014,1,0,0,1,1,0,0,0
739964,2016,1,1,0,1,1,0,0,0
403100,2015,1,0,0,1,1,0,0,0
476268,2015,1,3,0,1,1,0,0,0
1167710,2017,0,0,0,1,1,0,0,0
592338,2015,1,0,0,1,1,0,0,0
975046,2016,0,0,0,1,1,0,0,0
742602,2016,1,0,0,1,1,0,0,0
794151,2016,1,0,0,1,1,0,0,0
1196544,2017,0,0,0,1,1,0,0,0
504036,2015,1,2,0,1,1,0,0,0
719698,2016,1,1,0,1,1,0,0,0
564966,2015,1,0,0,1,1,0,0,0
606928,2015,1,0,0,1,1,0,0,0
58977,2013,1,1,0,1,1,0,0,0
1242604,2017,0,0,0,1,1,0,0,0
798740,2016,1,0,0,1,1,0,0,0
506568,2015,1,0,0,1,1,0,0,0
1020760,2016,1,1,0,1,1,0,0,0
859742,2016,1,0,0,1,1,0,0,0
383414,2015,1,0,0,1,1,0,0,0
353044,2014,1,0,0,1,1,0,0,0
447362,2015,1,2,0,1,1,0,0,0
831066,2016,1,0,0,1,1,0,0,0
1266306,2017,0,1,0,1,1,0,0,0
1170894,2017,0,1,0,1,1,0,0,0
948974,2016,1,0,0,1,1,0,0,0
380970,2015,1,0,0,1,1,0,0,0
1217778,2017,0,0,0,1,1,0,0,0
1246208,2017,0,0,0,1,1,0,0,0
434774,2015,1,2,0,1,1,0,0,0
308690,2014,1,1,0,1,1,0,0,0
888716,2016,1,0,0,1,1,0,0,0
321410,2014,1,0,0,1,1,0,0,0
965832,2016,1,0,0,1,1,0,0,0
648826,2016,1,0,0,1,1,0,0,0
1035472,2017,1,0,0,1,1,0,0,0
1154754,2017,1,1,0,1,1,0,0,0
627540,2015,1,2,0,1,1,0,0,0
301442,2014,1,0,0,1,1,0,0,0
640100,2015,1,0,0,1,1,0,0,0
1247394,2017,0,0,0,1,1,0,0,0
260470,2014,1,0,0,1,1,0,0,0
1214702,2017,0,0,0,1,1,0,0,0
848664,2016,1,0,0,1,1,0,0,0
1142570,2017,1,3,0,1,1,0,0,0
325834,2014,1,0,0,1,1,0,0,0
411168,2015,1,2,0,1,1,0,0,0
885974,2017,1,0,0,1,1,0,0,0
1151092,2017,0,0,0,1,1,0,0,0
358326,2015,1,1,0,1,1,0,0,0
153210,2014,1,1,0,1,1,0,0,0
834836,2016,0,2,0,1,1,0,0,0
1171994,2017,0,2,0,1,1,0,0,0
1239068,2017,0,0,0,1,1,0,0,0
985922,2016,1,0,0,1,1,0,0,0
765562,2016,1,1,0,1,1,0,0,0
165964,2014,1,0,0,1,1,0,0,0
855172,2016,1,0,0,1,1,0,0,0
258232,2014,1,0,0,1,1,0,0,0
994754,2016,1,0,0,1,1,0,0,0
43319,2013,1,1,0,1,1,0,0,0
408440,2015,1,0,0,1,1,0,0,0
918688,2016,1,0,0,1,1,0,0,0
308694,2015,1,0,0,1,1,0,0,0
199450,2014,1,0,0,1,1,0,0,0
401784,2015,1,1,0,1,1,0,0,0
1122792,2017,1,0,0,1,1,0,0,0
709500,2016,1,0,0,1,1,0,0,0
285638,2014,1,1,0,1,1,0,0,0
1135126,2017,0,0,0,1,1,0,0,0
834558,2016,1,0,0,1,1,0,0,0
551968,2015,1,0,0,1,1,0,0,0
1005658,2016,1,1,0,1,1,0,0,0
746432,2016,1,0,0,1,1,0,0,0
